@relation unsw_test_attack_cat

@attribute id numeric
@attribute dur numeric
@attribute proto {tcp,udp,arp,ospf,icmp,igmp,rtp,ddp,ipv6-frag,cftp,wsn,pvp,wb-expak,mtp,pri-enc,sat-mon,cphb,sun-nd,iso-ip,xtp,il,unas,mfe-nsp,3pc,ipv6-route,idrp,bna,swipe,kryptolan,cpnx,rsvp,wb-mon,vmtp,ib,dgp,eigrp,ax.25,gmtp,pnni,sep,pgm,idpr-cmtp,zero,rvd,mobile,narp,fc,pipe,ipcomp,ipv6-no,sat-expak,ipv6-opts,snp,ipcv,br-sat-mon,ttp,tcf,nsfnet-igp,sprite-rpc,aes-sp3-d,sccopmce,sctp,qnx,scps,etherip,aris,pim,compaq-peer,vrrp,iatp,stp,l2tp,srp,sm,isis,smp,fire,ptp,crtp,sps,merit-inp,idpr,skip,any,larp,ipip,micp,encap,ifmp,tp++,a/n,ipv6,i-nlsp,ipx-n-ip,sdrp,tlsp,gre,mhrp,ddx,ippc,visa,secure-vmtp,uti,vines,crudp,iplt,ggp,ip,ipnip,st2,argus,bbn-rcc,egp,emcon,igp,nvp,pup,xnet,chaos,mux,dcn,hmp,prm,trunk-1,xns-idp,leaf-1,leaf-2,rdp,irtp,iso-tp4,netblt,trunk-2,cbt}
@attribute service {-,ftp,smtp,snmp,http,ftp-data,dns,ssh,radius,pop3,dhcp,ssl,irc}
@attribute state {FIN,INT,CON,ECO,REQ,RST,PAR,URN,no}
@attribute spkts numeric
@attribute dpkts numeric
@attribute sbytes numeric
@attribute dbytes numeric
@attribute rate numeric
@attribute sttl numeric
@attribute dttl numeric
@attribute sload numeric
@attribute dload numeric
@attribute sloss numeric
@attribute dloss numeric
@attribute sinpkt numeric
@attribute dinpkt numeric
@attribute sjit numeric
@attribute djit numeric
@attribute swin numeric
@attribute stcpb numeric
@attribute dtcpb numeric
@attribute dwin numeric
@attribute tcprtt numeric
@attribute synack numeric
@attribute ackdat numeric
@attribute smean numeric
@attribute dmean numeric
@attribute trans_depth numeric
@attribute response_body_len numeric
@attribute ct_srv_src numeric
@attribute ct_state_ttl numeric
@attribute ct_dst_ltm numeric
@attribute ct_src_dport_ltm numeric
@attribute ct_dst_sport_ltm numeric
@attribute ct_dst_src_ltm numeric
@attribute is_ftp_login numeric
@attribute ct_ftp_cmd numeric
@attribute ct_flw_http_mthd numeric
@attribute ct_src_ltm numeric
@attribute ct_srv_dst numeric
@attribute is_sm_ips_ports numeric
@attribute attack_cat {Normal,Backdoor,Analysis,Fuzzers,Shellcode,Reconnaissance,Exploits,DoS,Worms,Generic}

@data
1,0.121478,tcp,-,FIN,6,4,258,172,74.08749,252,254,14158.94238,8495.365234,0,0,24.2956,8.375,30.177547,11.830604,255,621772692,2202533631,255,0,0,0,43,43,0,0,1,0,1,1,1,1,0,0,0,1,1,0,?
2,0.649902,tcp,-,FIN,14,38,734,42014,78.473372,62,252,8395.112305,503571.3125,2,17,49.915,15.432865,61.426934,1387.77833,255,1417884146,3077387971,255,0,0,0,52,1106,0,0,43,1,1,1,1,2,0,0,0,1,6,0,?
3,1.623129,tcp,-,FIN,8,16,364,13186,14.170161,62,252,1572.271851,60929.23047,1,6,231.875571,102.737203,17179.58686,11420.92623,255,2116150707,2963114973,255,0.111897,0.061458,0.050439,46,824,0,0,7,1,2,1,1,3,0,0,0,2,6,0,?
4,1.681642,tcp,ftp,FIN,12,12,628,770,13.677108,62,252,2740.178955,3358.62207,1,3,152.876547,90.235726,259.080172,4991.784669,255,1107119177,1047442890,255,0,0,0,52,64,0,0,1,1,2,1,1,3,1,1,0,2,1,0,?
5,0.449454,tcp,-,FIN,10,6,534,268,33.373826,254,252,8561.499023,3987.059814,2,1,47.750333,75.659602,2415.837634,115.807,255,2436137549,1977154190,255,0.128381,0.071147,0.057234,53,45,0,0,43,1,2,2,1,40,0,0,0,2,39,0,?
6,0.380537,tcp,-,FIN,10,6,534,268,39.41798,254,252,10112.02539,4709.134766,2,1,39.928778,52.241,2223.730342,82.5505,255,3984155503,1796040391,255,0.172934,0.119331,0.053603,53,45,0,0,43,1,2,2,1,40,0,0,0,2,39,0,?
7,0.637109,tcp,-,FIN,10,8,534,354,26.683033,254,252,6039.783203,3892.58374,2,1,68.267778,81.137711,4286.82857,119.422719,255,1787309226,1767180493,255,0.143337,0.069136,0.074201,53,44,0,0,43,1,1,1,1,40,0,0,0,1,39,0,?
8,0.521584,tcp,-,FIN,10,8,534,354,32.593026,254,252,7377.527344,4754.74707,2,1,55.794,66.054141,3770.580726,118.962633,255,205985702,316006300,255,0.116615,0.059195,0.05742,53,44,0,0,43,1,3,3,1,40,0,0,0,3,39,0,?
9,0.542905,tcp,-,FIN,10,8,534,354,31.313031,254,252,7087.796387,4568.018555,2,1,60.210889,68.109,4060.625597,106.611547,255,884094874,3410317203,255,0.118584,0.066133,0.052451,53,44,0,0,43,1,3,3,1,40,0,0,0,3,39,0,?
10,0.258687,tcp,-,FIN,10,6,534,268,57.985135,254,252,14875.12012,6927.291016,2,1,27.505111,39.106801,1413.686415,57.200395,255,3368447996,584859215,255,0.087934,0.063116,0.024818,53,45,0,0,43,1,3,3,1,40,0,0,0,3,39,0,?
